(3, 192, 354)
(4, 547, 339)
(11, 317, 318)
(3, 420, 313)
(2, 417, 262)
(9, 311, 217)
(1, 414, 211)
(10, 315, 267)
(6, 365, 264)
(5, 363, 214)
(1, 185, 190)
(2, 538, 172)
