[349. 227.],[351. 277.],[301. 279.],[299. 229.]
[349. 227.],[351. 277.],[301. 279.],[299. 229.]
[349. 227.],[351. 277.],[301. 279.],[299. 229.]
[349. 227.],[351. 277.],[301. 279.],[299. 229.]
[349. 227.],[351. 277.],[301. 279.],[299. 229.]
[349. 227.],[351. 277.],[301. 279.],[299. 229.]
[349. 227.],[351. 277.],[301. 279.],[299. 229.]
[349. 227.],[351. 277.],[301. 279.],[299. 229.]
[349. 227.],[351. 277.],[301. 279.],[299. 229.]
[349. 227.],[351. 277.],[301. 279.],[299. 229.]
[349. 227.],[351. 277.],[301. 279.],[299. 229.]
[349. 227.],[351. 277.],[301. 279.],[299. 229.]
[349. 227.],[351. 277.],[301. 279.],[299. 229.]
